Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Dendrocitta leucogastra,White-bellied Treepie,0.7754,101717_source0.wav
0.0,3.0,Dendrocitta formosae,Gray Treepie,0.7640,101717_source0.wav
0.0,3.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.6849,101717_source0.wav
0.0,3.0,Dendrocitta cinerascens,Bornean Treepie,0.4227,101717_source0.wav
6.0,9.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.4054,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Bornean Treepie,0.8080,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.6623,101717_source0.wav
21.0,22.52,Dendrocitta formosae,Gray Treepie,0.3587,101717_source0.wav
0.0,3.0,Anthracoceros malayanus,Black Hornbill,0.9974,114397_source0.wav
0.0,3.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9448,114397_source0.wav
3.0,6.0,Anthracoceros malayanus,Black Hornbill,0.9544,114397_source0.wav
3.0,6.0,Anthracoceros malayanus,Anthracoceros malayanus,0.8985,114397_source0.wav
6.0,9.0,Anthracoceros malayanus,Black Hornbill,0.9972,114397_source0.wav
6.0,9.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9430,114397_source0.wav
6.0,9.0,Macronus ptilosus,Macronus ptilosus,0.3667,114397_source0.wav
9.0,12.0,Anthracoceros malayanus,Black Hornbill,0.9357,114397_source0.wav
9.0,12.0,Anthracoceros malayanus,Anthracoceros malayanus,0.7255,114397_source0.wav
18.0,21.0,Anthracoceros malayanus,Anthracoceros malayanus,0.4408,114397_source0.wav
18.0,21.0,Anthracoceros malayanus,Black Hornbill,0.3210,114397_source0.wav
21.0,24.0,Anthracoceros malayanus,Black Hornbill,0.9911,114397_source0.wav
21.0,24.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9459,114397_source0.wav
24.0,27.0,Anthracoceros malayanus,Black Hornbill,0.9938,114397_source0.wav
24.0,27.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9682,114397_source0.wav
24.0,27.0,Bycanistes albotibialis,White-thighed Hornbill,0.4984,114397_source0.wav
27.0,30.0,Anthracoceros malayanus,Black Hornbill,0.9912,114397_source0.wav
27.0,30.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9344,114397_source0.wav
27.0,30.0,Bycanistes albotibialis,White-thighed Hornbill,0.3477,114397_source0.wav
30.0,33.0,Anthracoceros malayanus,Black Hornbill,0.7797,114397_source0.wav
30.0,33.0,Anthracoceros malayanus,Anthracoceros malayanus,0.5344,114397_source0.wav
36.0,39.0,Anthracoceros malayanus,Black Hornbill,0.8619,114397_source0.wav
36.0,39.0,Anthracoceros malayanus,Anthracoceros malayanus,0.7220,114397_source0.wav
39.0,42.0,Anthracoceros malayanus,Black Hornbill,0.3428,114397_source0.wav
39.0,42.0,Anthracoceros malayanus,Anthracoceros malayanus,0.3188,114397_source0.wav
42.0,45.0,Anthracoceros malayanus,Black Hornbill,0.9979,114397_source0.wav
42.0,45.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9506,114397_source0.wav
45.0,48.0,Anthracoceros malayanus,Black Hornbill,0.9809,114397_source0.wav
45.0,48.0,Anthracoceros malayanus,Anthracoceros malayanus,0.8758,114397_source0.wav
48.0,51.0,Anthracoceros malayanus,Black Hornbill,0.9929,114397_source0.wav
48.0,51.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9774,114397_source0.wav
51.0,54.0,Anthracoceros malayanus,Black Hornbill,0.9697,114397_source0.wav
51.0,54.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9436,114397_source0.wav
51.0,54.0,Bycanistes albotibialis,White-thighed Hornbill,0.6203,114397_source0.wav
54.0,57.0,Anthracoceros malayanus,Anthracoceros malayanus,0.5535,114397_source0.wav
54.0,57.0,Anthracoceros malayanus,Black Hornbill,0.4398,114397_source0.wav
57.0,60.0,Anthracoceros malayanus,Black Hornbill,0.9892,114397_source0.wav
57.0,60.0,Anthracoceros malayanus,Anthracoceros malayanus,0.9305,114397_source0.wav
60.0,63.0,Anthracoceros malayanus,Black Hornbill,0.8578,114397_source0.wav
60.0,63.0,Anthracoceros malayanus,Anthracoceros malayanus,0.7757,114397_source0.wav
60.0,63.0,Bycanistes albotibialis,White-thighed Hornbill,0.2916,114397_source0.wav
0.0,3.0,Megascops ingens,Rufescent Screech-Owl,0.2509,121494_source3.wav
9.0,12.0,Cyphorhinus thoracicus,Chestnut-breasted Wren,0.4660,121494_source3.wav
3.0,6.0,Anthracoceros albirostris,Oriental Pied-Hornbill,0.9758,150900_source0.wav
21.0,24.0,Anthracoceros albirostris,Oriental Pied-Hornbill,0.7949,150900_source0.wav
30.0,33.0,Amazona auropalliata,Yellow-naped Parrot,0.2528,150900_source0.wav
3.0,6.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.9098,151620_source0.wav
3.0,6.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.8251,151620_source0.wav
6.0,9.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.8038,151620_source0.wav
6.0,9.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7999,151620_source0.wav
9.0,12.0,Oriolus chinensis,Black-naped Oriole,0.4115,151620_source0.wav
9.0,12.0,Oriolus traillii,Maroon Oriole,0.2619,151620_source0.wav
15.0,18.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.7851,151620_source0.wav
15.0,18.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.5318,151620_source0.wav
27.0,30.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.6441,151620_source0.wav
27.0,30.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.4996,151620_source0.wav
30.0,33.0,Habia rubica,Red-crowned Ant-Tanager,0.2631,151620_source0.wav
33.0,36.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.7780,151620_source0.wav
33.0,36.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.7084,151620_source0.wav
33.0,36.0,Psilopogon pyrolophus,Psilopogon pyrolophus,0.2540,151620_source0.wav
36.0,39.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.2531,151620_source0.wav
39.0,42.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.5933,151620_source0.wav
39.0,42.0,Calyptomena whiteheadi,Whitehead's Broadbill,0.2793,151620_source0.wav
42.0,45.0,Psilopogon pyrolophus,Psilopogon pyrolophus,0.5603,151620_source0.wav
42.0,45.0,Psilopogon pyrolophus,Fire-tufted Barbet,0.3496,151620_source0.wav
51.0,54.0,Calyptomena whiteheadi,Calyptomena whiteheadi,0.5018,151620_source0.wav
6.0,9.0,Geokichla citrina,Orange-headed Thrush,0.5911,167240_source0.wav
6.0,9.0,Cossypha humeralis,White-throated Robin-Chat,0.2807,167240_source0.wav
6.0,9.0,Pellorneum rostratum,Pellorneum rostratum,0.2655,167240_source0.wav
12.0,15.0,Geokichla citrina,Orange-headed Thrush,0.2582,167240_source0.wav
24.0,27.0,Pellorneum rostratum,Pellorneum rostratum,0.3613,167240_source0.wav
24.0,27.0,Geokichla citrina,Orange-headed Thrush,0.2527,167240_source0.wav
54.0,57.0,Geokichla citrina,Orange-headed Thrush,0.3252,167240_source0.wav
