Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Dendrocitta formosae,Gray Treepie,0.9520,101717.mp3
0.0,3.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.6050,101717.mp3
0.0,3.0,Dendrocitta leucogastra,White-bellied Treepie,0.2881,101717.mp3
15.0,18.0,Dendrocitta cinerascens,Bornean Treepie,0.7929,101717.mp3
15.0,18.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.5785,101717.mp3
15.0,18.0,Dendrocitta formosae,Gray Treepie,0.3154,101717.mp3
21.0,22.81,Dendrocitta formosae,Gray Treepie,0.2718,101717.mp3
0.0,3.0,Dendrocitta leucogastra,White-bellied Treepie,0.7754,101717_source0.wav
0.0,3.0,Dendrocitta formosae,Gray Treepie,0.7640,101717_source0.wav
0.0,3.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.6849,101717_source0.wav
0.0,3.0,Dendrocitta cinerascens,Bornean Treepie,0.4227,101717_source0.wav
6.0,9.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.4054,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Bornean Treepie,0.8080,101717_source0.wav
15.0,18.0,Dendrocitta cinerascens,Dendrocitta cinerascens,0.6623,101717_source0.wav
21.0,22.52,Dendrocitta formosae,Gray Treepie,0.3587,101717_source0.wav
3.0,6.0,Paradisaea rubra,Red Bird-of-Paradise,0.6318,102913.mp3
3.0,6.0,Otus magicus,Moluccan Scops-Owl,0.4247,102913.mp3
6.0,9.0,Paradisaea rubra,Red Bird-of-Paradise,0.4051,102913.mp3
9.0,12.0,Paradisaea rubra,Red Bird-of-Paradise,0.8848,102913.mp3
12.0,15.0,Otus magicus,Moluccan Scops-Owl,0.5983,102913.mp3
12.0,15.0,Paradisaea rubra,Red Bird-of-Paradise,0.3202,102913.mp3
12.0,15.0,Otus magicus,Otus magicus,0.3086,102913.mp3
15.0,18.0,Paradisaea rubra,Red Bird-of-Paradise,0.4766,102913.mp3
15.0,18.0,Otus magicus,Moluccan Scops-Owl,0.2780,102913.mp3
18.0,21.0,Paradisaea rubra,Red Bird-of-Paradise,0.6650,102913.mp3
18.0,21.0,Otus magicus,Moluccan Scops-Owl,0.3646,102913.mp3
21.0,24.0,Paradisaea rubra,Red Bird-of-Paradise,0.2554,102913.mp3
0.0,3.0,Urosphena subulata,Timor Stubtail,0.9424,105148.mp3
6.0,9.0,Amaurornis phoenicurus,Amaurornis phoenicurus,0.7196,105148.mp3
6.0,9.0,Amaurornis phoenicurus,White-breasted Waterhen,0.3403,105148.mp3
6.0,9.0,Ibycter americanus,Red-throated Caracara,0.3045,105148.mp3
9.0,12.0,Corvus enca,Corvus enca,0.4054,105148.mp3
9.0,12.0,Amaurornis phoenicurus,Amaurornis phoenicurus,0.3682,105148.mp3
9.0,12.0,Corvus macrorhynchos,Corvus macrorhynchos,0.2691,105148.mp3
12.0,15.0,Amaurornis phoenicurus,White-breasted Waterhen,0.8745,105148.mp3
12.0,15.0,Amaurornis phoenicurus,Amaurornis phoenicurus,0.8365,105148.mp3
12.0,15.0,Urosphena subulata,Timor Stubtail,0.6025,105148.mp3
15.0,18.0,Amaurornis phoenicurus,White-breasted Waterhen,0.9987,105148.mp3
15.0,18.0,Amaurornis phoenicurus,Amaurornis phoenicurus,0.9903,105148.mp3
0.0,3.0,Cyanoderma rufifrons,Cyanoderma rufifrons,0.7421,107418.mp3
0.0,3.0,Cyanoderma rufifrons,Rufous-fronted Babbler,0.3568,107418.mp3
0.0,3.0,Pachycephala cinerea,Pachycephala cinerea,0.2530,107418.mp3
0.0,3.0,Copsychus saularis,Oriental Magpie-Robin,0.9027,109956.mp3
0.0,3.0,Copsychus mindanensis,Philippine Magpie-Robin,0.4595,109956.mp3
3.0,6.0,Anthreptes malacensis,Brown-throated Sunbird,0.9005,109956.mp3
3.0,6.0,Anthreptes malacensis,Anthreptes malacensis,0.6333,109956.mp3
3.0,6.0,Cinnyris jugularis,Olive-backed Sunbird,0.5411,109956.mp3
3.0,6.0,Cinnyris jugularis,Cinnyris jugularis,0.4083,109956.mp3
6.0,9.0,Anthreptes malacensis,Brown-throated Sunbird,0.9915,109956.mp3
6.0,9.0,Cinnyris jugularis,Cinnyris jugularis,0.4223,109956.mp3
6.0,9.0,Anthreptes malacensis,Anthreptes malacensis,0.3446,109956.mp3
9.0,12.0,Anthreptes malacensis,Brown-throated Sunbird,0.9976,109956.mp3
9.0,12.0,Anthreptes malacensis,Anthreptes malacensis,0.8214,109956.mp3
9.0,12.0,Cinnyris jugularis,Cinnyris jugularis,0.6052,109956.mp3
15.0,18.0,Anthreptes malacensis,Brown-throated Sunbird,0.9994,109956.mp3
15.0,18.0,Anthreptes malacensis,Anthreptes malacensis,0.8767,109956.mp3
15.0,18.0,Cinnyris jugularis,Cinnyris jugularis,0.5119,109956.mp3
15.0,18.0,Cinnyris jugularis,Olive-backed Sunbird,0.2817,109956.mp3
24.0,27.0,Anthreptes malacensis,Brown-throated Sunbird,0.3365,109956.mp3
27.0,30.0,Anthreptes malacensis,Brown-throated Sunbird,0.9885,109956.mp3
27.0,30.0,Anthreptes malacensis,Anthreptes malacensis,0.8136,109956.mp3
27.0,30.0,Cinnyris jugularis,Cinnyris jugularis,0.3210,109956.mp3
27.0,30.0,Cinnyris jugularis,Olive-backed Sunbird,0.2649,109956.mp3
