"scientific_name","common_name","endangerment_category","endemic_malaysia","endemic_indonesia","data_source"
"Abroscopus superciliaris","Yellow-bellied Warbler","Least Concern","-","-","matched"
"Accipiter hiogaster","Variable Goshawk","Least Concern","-","-","matched"
"Actenoides concretus","Rufous-collared Kingfisher","Least Concern","-","-","matched"
"Aegithina tiphia","Common Iora","Least Concern","-","-","matched"
"Aethopyga siparaja","Crimson Sunbird","Least Concern","-","-","matched"
"Aethopyga temminckii","Temminck's Sunbird","Least Concern","-","-","matched"
"Alcippe brunneicauda","Brown Fulvetta","Least Concern","-","-","matched"
"Alcippe peracensis","Mountain Fulvetta","Least Concern","-","-","matched"
"Alophoixus phaeocephalus","Yellow-bellied Bulbul","Least Concern","-","-","matched"
"Amaurornis phoenicurus","White-breasted Waterhen","Least Concern","-","-","matched"
"Anorrhinus galeritus","Bushy-crested Hornbill","Least Concern","-","-","matched"
"Anthipes solitaris","Rufous-browed Flycatcher","Least Concern","-","-","matched"
"Anthracoceros malayanus","Black Hornbill","Vulnerable","-","-","matched"
"Anthreptes malacensis","Brown-throated Sunbird","Least Concern","-","-","matched"
"Arachnothera longirostra","Little Spiderhunter","Least Concern","-","-","matched"
"Arachnothera magna","Streaked Spiderhunter","Least Concern","-","-","matched"
"Batrachostomus affinis","Blyth's Frogmouth","Least Concern","-","-","matched"
"Batrachostomus stellatus","Gould's Frogmouth","Least Concern","-","-","matched"
"Berenicornis comatus","White-crowned Hornbill","Endangered","-","-","matched"
"Blythipicus rubiginosus","Maroon Woodpecker","Least Concern","-","-","matched"
"Brachypodius melanocephalos","Black-headed Bulbul","Least Concern","-","-","matched"
"Brachypteryx leucophris","Lesser Shortwing","Least Concern","-","-","matched"
"Brachypteryx montana","White-browed Shortwing","Least Concern","No","Yes","matched"
"Buceros rhinoceros","Rhinoceros Hornbill","Vulnerable","-","-","matched"
"Cacomantis merulinus","Plaintive Cuckoo","Least Concern","-","-","matched"
"Cacomantis sepulcralis","","Least Concern","-","-","matched"
"Cacomantis sonneratii","Banded Bay Cuckoo","Least Concern","-","-","matched"
"Calyptomena viridis","Green Broadbill","Least Concern","-","-","matched"
"Calyptomena whiteheadi","Whitehead's Broadbill","Least Concern","-","-","matched"
"Caprimulgus macrurus","Large-tailed Nightjar","Least Concern","-","-","matched"
"Carpococcyx radiceus","Bornean Ground-Cuckoo","Vulnerable","-","-","matched"
"Centropus bengalensis","Lesser Coucal","Least Concern","-","-","matched"
"Centropus celebensis","Bay Coucal","Least Concern","No","Yes","matched"
"Centropus rectunguis","Short-toed Coucal","Vulnerable","-","-","matched"
"Centropus sinensis","Greater Coucal","Least Concern","-","-","matched"
"Cettia vulcania","","not in reference data","not in reference data","not in reference data","unmatched"
"Chloropsis cyanopogon","Lesser Green Leafbird","Least Concern","-","-","matched"
"Chrysococcyx minutillus","Little Bronze-Cuckoo","Least Concern","-","-","matched"
"Chrysocolaptes lucidus","","not in reference data","not in reference data","not in reference data","unmatched"
"Chrysophlegma mentale","Checker-throated Woodpecker","Least Concern","No","Yes","matched"
"Cinnyris jugularis","Olive-backed Sunbird","Least Concern","-","-","matched"
"Cissa chinensis","Common Green-Magpie","not in reference data","not in reference data","not in reference data","unmatched"
"Copsychus pyrropygus","Rufous-tailed Shama","Least Concern","-","-","matched"
"Copsychus stricklandii","","Least Concern","-","-","matched"
"Corvus enca","Slender-billed Crow","Least Concern","-","-","matched"
"Corvus macrorhynchos","Large-billed Crow","Least Concern","-","-","matched"
"Corvus unicolor","","Critically Endangered","No","Yes","matched"
"Corydon sumatranus","Dusky Broadbill","Least Concern","-","-","matched"
"Cuculus lepidus","Sunda Cuckoo","Least Concern","-","-","matched"
"Cuculus micropterus","Indian Cuckoo","Least Concern","-","-","matched"
"Cuculus saturatus","Himalayan Cuckoo","not in reference data","not in reference data","not in reference data","unmatched"
"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","Least Concern","-","-","matched"
"Cyanoderma bicolor","","Least Concern","-","-","matched"
"Cyanoderma erythropterum","Chestnut-winged Babbler","Least Concern","-","-","matched"
"Cyanoderma melanothorax","Crescent-chested Babbler","Least Concern","No","Yes","matched"
"Cyanoderma rufifrons","Rufous-fronted Babbler","Least Concern","-","-","matched"
"Cymbirhynchus macrorhynchos","Black-and-red Broadbill","Least Concern","-","-","matched"
"Cyornis caerulatus","Sunda Blue Flycatcher","Vulnerable","-","-","matched"
"Cyornis umbratilis","Gray-chested Jungle-Flycatcher","Least Concern","-","-","matched"
"Cyornis unicolor","Pale Blue Flycatcher","Least Concern","-","-","matched"
"Dendrocitta cinerascens","Bornean Treepie","Least Concern","-","-","matched"
"Dicaeum trigonostigma","Orange-bellied Flowerpecker","Least Concern","-","-","matched"
"Dicrurus bracteatus","Spangled Drongo","Least Concern","-","-","matched"
"Dicrurus hottentottus","Hair-crested Drongo","Least Concern","-","-","matched"
"Dicrurus leucophaeus","Ashy Drongo","Least Concern","-","-","matched"
"Dicrurus paradiseus","Greater Racket-tailed Drongo","Least Concern","-","-","matched"
"Dicrurus remifer","Lesser Racket-tailed Drongo","Least Concern","-","-","matched"
"Diphyllodes respublica","","Least Concern","-","-","matched"
"Dryocopus javensis","White-bellied Woodpecker","Least Concern","-","-","matched"
"Ducula aenea","Green Imperial-Pigeon","Least Concern","-","-","matched"
"Eclectus roratus","Eclectus Parrot","Least Concern","No","Yes","matched"
"Erythropitta granatina","Garnet Pitta","Least Concern","-","-","matched"
"Erythropitta ussheri","Black-crowned Pitta","Least Concern","Yes","No","matched"
"Eupetes macrocerus","Malaysian Rail-babbler","Least Concern","-","-","matched"
"Euptilotus eutilotus","","Least Concern","-","-","matched"
"Eurylaimus javanicus","Banded Broadbill","Least Concern","No","Yes","matched"
"Eurylaimus ochromalus","Black-and-yellow Broadbill","Least Concern","-","-","matched"
"Ficedula dumetoria","Rufous-chested Flycatcher","Least Concern","-","-","matched"
"Ficedula hyperythra","Snowy-browed Flycatcher","Least Concern","-","-","matched"
"Ficedula westermanni","Little Pied Flycatcher","Least Concern","-","-","matched"
"Geoffroyus geoffroyi","Red-cheeked Parrot","Least Concern","-","-","matched"
"Geopelia striata","Zebra Dove","Least Concern","-","-","matched"
"Gerygone sulphurea","Golden-bellied Gerygone","Least Concern","-","-","matched"
"Gypsophila brevicaudata","Streaked Wren-Babbler","Least Concern","-","-","matched"
"Gypsophila crassa","","Least Concern","-","-","matched"
